date,position,order,family,morphospecies

25-Jun,G1A,hemiptera,aphididae,aph1

25-Jun,G1A,hemiptera,aphididae,aph2

25-Jun,G1A,diptera,dolichopodidae,dol1

25-Jun,G1A,diptera,dolichopodidae,dol3

25-Jun,G1A,thysanoptera,thysanoptera,thy1

25-Jun,G1A,thysanoptera,thysanoptera,thy1

25-Jun,G1A,thysanoptera,thysanoptera,thy2

25-Jun,G1A,thysanoptera,thysanoptera,thy3

25-Jun,G1B,hemiptera,aphididae,aph1

25-Jun,G1B,hemiptera,aphididae,aph2

25-Jun,G1B,hemiptera,aphididae,aph2

25-Jun,G1B,collembola,collembola,col1

25-Jun,G1B,hymenoptera,halictidae,hal1

25-Jun,G1B,hymenoptera,scelionidae,sce1

25-Jun,G1B,thysanoptera,thysanoptera,thy1

25-Jun,G2A,hemiptera,aphididae,aph2

25-Jun,G2A,hemiptera,aphididae,aph2

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,collembola,collembola,col1

25-Jun,G2A,diptera,dolichopodidae,dol3

25-Jun,G2A,hemiptera,psyllidae,psy1

25-Jun,G2A,thysanoptera,thysanoptera,thy1

25-Jun,G2A,thysanoptera,thysanoptera,thy1

25-Jun,G2B,diptera,dolichopodidae,dol1

25-Jun,G2B,diptera,dolichopodidae,dol1

25-Jun,G2B,diptera,dolichopodidae,dol3

25-Jun,G2B,hymenoptera,pteromalidae,pte1

25-Jun,G2B,thysanoptera,thysanoptera,thy1

25-Jun,G2B,thysanoptera,thysanoptera,thy1

25-Jun,G3A,hemiptera,aphididae,aph2

25-Jun,G3A,hemiptera,aphididae,aph2

25-Jun,G3A,diptera,dolichopodidae,dol1

25-Jun,G3A,diptera,dolichopodidae,dol1

25-Jun,G3A,diptera,dolichopodidae,dol3

25-Jun,G3A,diptera,dolichopodidae,dol3

25-Jun,G3A,diptera,dolichopodidae,dol3

25-Jun,G3A,diptera,dolichopodidae,dol3

25-Jun,G3A,hymenoptera,encyrtidae,enc1

25-Jun,G3A,hymenoptera,encyrtidae,enc1

25-Jun,G3A,hemiptera,membracidae,mem1

25-Jun,G3A,hymenoptera,mymaridae,mym1

25-Jun,G3A,hemiptera,stenorrhyncha,ste1

25-Jun,G3A,hemiptera,stenorrhyncha,ste1

25-Jun,G3A,thysanoptera,thysanoptera,thy1

25-Jun,G3A,thysanoptera,thysanoptera,thy1

25-Jun,G3A,thysanoptera,thysanoptera,thy1

25-Jun,G3A,thysanoptera,thysanoptera,thy1

25-Jun,G3A,thysanoptera,thysanoptera,thy1

25-Jun,G3A,thysanoptera,thysanoptera,thy3

25-Jun,G3B,hemiptera,aphididae,aph1

25-Jun,G3B,collembola,collembola,col1

25-Jun,G3B,diptera,dolichopodidae,dol3

25-Jun,G3B,diptera,dolichopodidae,dol3

25-Jun,G3B,thysanoptera,thysanoptera,thy1

25-Jun,G3B,thysanoptera,thysanoptera,thy1

25-Jun,G3B,thysanoptera,thysanoptera,thy1

25-Jun,G3B,thysanoptera,thysanoptera,thy1

25-Jun,G3B,thysanoptera,thysanoptera,thy1

25-Jun,G3B,thysanoptera,thysanoptera,thy3

25-Jun,G3B,thysanoptera,thysanoptera,thy3

25-Jun,R1A,diptera,dolichopodidae,dol2

25-Jun,R1A,thysanoptera,thysanoptera,thy1

25-Jun,R1A,thysanoptera,thysanoptera,thy1

25-Jun,R1A,thysanoptera,thysanoptera,thy3

25-Jun,R1A,thysanoptera,thysanoptera,thy6

25-Jun,R1B,hemiptera,aphididae,aph2

25-Jun,R1B,hymenoptera,eulophidae,eul1

25-Jun,R1B,hymenoptera,scelionidae,sce3

25-Jun,R1B,thysanoptera,thysanoptera,thy1

25-Jun,R1B,thysanoptera,thysanoptera,thy1

25-Jun,R1B,thysanoptera,thysanoptera,thy1

25-Jun,R1B,thysanoptera,thysanoptera,thy1

25-Jun,R1B,thysanoptera,thysanoptera,thy1

25-Jun,R1B,thysanoptera,thysanoptera,thy3

25-Jun,R2A,hemiptera,aphididae,aph1

25-Jun,R2A,thysanoptera,thysanoptera,thy1

25-Jun,R2A,hymenoptera,hym-unk,hym-unk2

25-Jun,R2A,hymenoptera,hym-unk,hym-unk3

25-Jun,R2B,diptera,dolichopodidae,dol1

25-Jun,R2B,diptera,sciaridae,sci1

25-Jun,R2B,hymenoptera,hym-unk,hym-unk4

25-Jun,R3A,diptera,dolichopodidae,dol2

25-Jun,R3A,diptera,dolichopodidae,dol3

25-Jun,R3B,diptera,dolichopodidae,dol3

25-Jun,R3B,diptera,heleomyzidae,hel1

25-Jun,R3B,diptera,dip-unk,dip-unk1

10-Jul,G1A,diptera,chironomidae,chi1

10-Jul,G1A,diptera,chironomidae,chi1

10-Jul,G1A,diptera,chironomidae,chi2

10-Jul,G1A,diptera,dolichopodidae,dol1

10-Jul,G1A,diptera,dolichopodidae,dol1

10-Jul,G1A,diptera,sarcophagidae,sar1

10-Jul,G1A,diptera,sarcophagidae,sar1

10-Jul,G1A,diptera,sarcophagidae,sar1

10-Jul,G1A,diptera,sciaridae,sci1

10-Jul,G1A,siphonaptera,siphonaptera,sip1

10-Jul,G1A,diptera,syrphidae,syr1

10-Jul,G1A,diptera,syrphidae,syr1

10-Jul,G1A,thysanoptera,thysanoptera,thy3

10-Jul,G1B,hemiptera,aleyrodidae,ale1

10-Jul,G1B,diptera,ceratopogonidae,cer1

10-Jul,G1B,diptera,chironomidae,chi1

10-Jul,G1B,diptera,chironomidae,chi1

10-Jul,G1B,diptera,chironomidae,chi1

10-Jul,G1B,diptera,chironomidae,chi1

10-Jul,G1B,diptera,chironomidae,chi1

10-Jul,G1B,collembola,collembola,col2

10-Jul,G1B,diptera,dolichopodidae,dol1

10-Jul,G1B,diptera,dolichopodidae,dol1

10-Jul,G1B,diptera,dolichopodidae,dol1

10-Jul,G1B,diptera,dolichopodidae,dol3

10-Jul,G1B,diptera,dolichopodidae,dol3

10-Jul,G1B,hymenoptera,vespidae,ves1

10-Jul,G1B,diptera,dip-unk,dip-unk2

10-Jul,G2A,hemiptera,aphididae,aph3

10-Jul,G2A,diptera,chironomidae,chi1

10-Jul,G2A,collembola,collembola,col2

10-Jul,G2A,diptera,dolichopodidae,dol1

10-Jul,G2A,diptera,dolichopodidae,dol1

10-Jul,G2A,diptera,dolichopodidae,dol3

10-Jul,G2A,diptera,dolichopodidae,dol3

10-Jul,G2A,diptera,fanniidae,fan1

10-Jul,G2A,diptera,syrphidae,syr1

10-Jul,G2B,hemiptera,aphididae,aph3

10-Jul,G2B,diptera,ceratopogonidae,cer1

10-Jul,G2B,diptera,chironomidae,chi1

10-Jul,G2B,diptera,chironomidae,chi1

10-Jul,G2B,diptera,chironomidae,chi1

10-Jul,G2B,diptera,chironomidae,chi1

10-Jul,G2B,diptera,chironomidae,chi1

10-Jul,G2B,diptera,chironomidae,chi1

10-Jul,G2B,diptera,chironomidae,chi1

10-Jul,G2B,diptera,dolichopodidae,dol1

10-Jul,G2B,diptera,dolichopodidae,dol1

10-Jul,G2B,diptera,dolichopodidae,dol3

10-Jul,G2B,diptera,dolichopodidae,dol3

10-Jul,G2B,diptera,dolichopodidae,dol3

10-Jul,G2B,hemiptera,membracidae,mem1

10-Jul,G2B,diptera,syrphidae,syr1

10-Jul,G2B,hymenoptera,hym-unk,hym-unk5

10-Jul,G2B,hymenoptera,hym-unk,hym-unk6

10-Jul,G3A,diptera,ceratopogonidae,cer1

10-Jul,G3A,hemiptera,cicadellidae,cic1

10-Jul,G3A,collembola,collembola,col2

10-Jul,G3A,diptera,dolichopodidae,dol1

10-Jul,G3A,diptera,dolichopodidae,dol3

10-Jul,G3A,diptera,dolichopodidae,dol3

10-Jul,G3A,diptera,dolichopodidae,dol3

10-Jul,G3A,diptera,dolichopodidae,dol3

10-Jul,G3A,hemiptera,membracidae,mem1

10-Jul,G3A,diptera,sarcophagidae,sar1

10-Jul,G3A,diptera,syrphidae,syr1

10-Jul,G3A,diptera,syrphidae,syr1

10-Jul,G3A,diptera,syrphidae,syr1

10-Jul,G3A,diptera,syrphidae,syr1

10-Jul,G3A,diptera,dip-unk,dip-unk3

10-Jul,G3B,hemiptera,aleyrodidae,ale1

10-Jul,G3B,diptera,ceratopogonidae,cer1

10-Jul,G3B,diptera,chironomidae,chi1

10-Jul,G3B,collembola,collembola,col1

10-Jul,G3B,diptera,dolichopodidae,dol1

10-Jul,G3B,diptera,dolichopodidae,dol3

10-Jul,G3B,diptera,dolichopodidae,dol3

10-Jul,G3B,diptera,dolichopodidae,dol3

10-Jul,G3B,diptera,dolichopodidae,dol3

10-Jul,G3B,diptera,dolichopodidae,dol3

10-Jul,R1A,thysanoptera,thysanoptera,thy1

10-Jul,R1A,thysanoptera,thysanoptera,thy7

10-Jul,R1B,diptera,chironomidae,chi1

10-Jul,R1B,thysanoptera,thysanoptera,thy8

10-Jul,R1B,hymenoptera,vespidae,ves1

10-Jul,R2A,diptera,ceratopogonidae,cer1

10-Jul,R2A,thysanoptera,thysanoptera,thy3

10-Jul,R2A,thysanoptera,thysanoptera,thy8

10-Jul,R2B,hemiptera,aphididae,aph4

10-Jul,R2B,hemiptera,membracidae,mem1

10-Jul,R2B,hymenoptera,scelionidae,sce2

10-Jul,R2B,thysanoptera,thysanoptera,thy8

10-Jul,R2B,hymenoptera,vespidae,ves1

10-Jul,R3A,hemiptera,aphididae,aph5

10-Jul,R3A,hemiptera,cicadellidae,cic1

10-Jul,R3A,collembola,collembola,col1

10-Jul,R3A,collembola,collembola,col1

10-Jul,R3A,diptera,dolichopodidae,dol2

10-Jul,R3A,diptera,dolichopodidae,dol2

10-Jul,R3A,hemiptera,nabidae,nab1

10-Jul,R3B,collembola,collembola,col1

10-Jul,R3B,collembola,collembola,col1

10-Jul,R3B,collembola,collembola,col1

10-Jul,R3B,diptera,dolichopodidae,dol2

23-Jul,G1A,diptera,ceratopogonidae,cer1

23-Jul,G1A,diptera,syrphidae,syr1

23-Jul,G1A,diptera,syrphidae,syr1

23-Jul,G1A,diptera,dip-unk,dip-unk5

23-Jul,G1B,acari,acari,aca1

23-Jul,G1B,diptera,fanniidae,fan1

23-Jul,G1B,diptera,fanniidae,fan1

23-Jul,G1B,diptera,sarcophagidae,sar1

23-Jul,G1B,coleoptera,scarabaeidae,sca1

23-Jul,G1B,diptera,syrphidae,syr1

23-Jul,G1B,thysanoptera,thysanoptera,thy1

23-Jul,G1B,diptera,dip-unk,dip-unk5

23-Jul,G2A,diptera,ceratopogonidae,cer1

23-Jul,G2A,diptera,ceratopogonidae,cer1

23-Jul,G2A,diptera,dolichopodidae,dol4

23-Jul,G2A,diptera,fanniidae,fan1

23-Jul,G2A,thysanoptera,thysanoptera,thy8

23-Jul,G2B,hemiptera,aleyrodidae,ale1

23-Jul,G2B,diptera,dolichopodidae,dol1

23-Jul,G2B,diptera,dolichopodidae,dol1

23-Jul,G2B,diptera,dolichopodidae,dol3

23-Jul,G2B,diptera,fanniidae,fan1

23-Jul,G2B,diptera,fanniidae,fan1

23-Jul,G2B,diptera,sarcophagidae,sar1

23-Jul,G2B,diptera,vespidae,ves2

23-Jul,G2B,diptera,dip-unk,dip-unk5

23-Jul,G2B,hymenoptera,hym-unk,hym-unk6

23-Jul,G2B,hymenoptera,hym-unk,hym-unk7

23-Jul,G2B,hymenoptera,hym-unk,hym-unk7

23-Jul,G2B,hymenoptera,hym-unk,hym-unk8

23-Jul,G3A,diptera,fanniidae,fan1

23-Jul,G3A,diptera,fanniidae,fan1

23-Jul,G3A,hymenoptera,formicidae,for1

23-Jul,G3A,thysanoptera,thysanoptera,thy8

23-Jul,G3A,thysanoptera,thysanoptera,thy8

23-Jul,G3A,hymenoptera,hym-unk,hym-unk7

23-Jul,G3A,hymenoptera,hym-unk,hym-unk9

23-Jul,G3B,hemiptera,aphididae,aph2

23-Jul,G3B,hemiptera,aphididae,aph2

23-Jul,G3B,hemiptera,aphididae,aph6

23-Jul,G3B,diptera,dolichopodidae,dol1

23-Jul,G3B,diptera,dolichopodidae,dol1

23-Jul,G3B,diptera,dolichopodidae,dol1

23-Jul,G3B,diptera,fanniidae,fan1

23-Jul,G3B,thysanoptera,thysanoptera,thy1

23-Jul,G3B,hymenoptera,vespidae,ves2

23-Jul,R1A,diptera,chironomidae,chi1

23-Jul,R1A,hymenoptera,mymaridae,mym3

23-Jul,R1B,hemiptera,aphididae,aph2

23-Jul,R1B,hemiptera,stenorrhyncha,ste1

23-Jul,R1B,thysanoptera,thysanoptera,thy1

23-Jul,R2A,hemiptera,aphididae,aph7

23-Jul,R2A,hymenoptera,hym-unk,hym-unk5

23-Jul,R2B,collembola,collembola,col2

23-Jul,R2B,hemiptera,nabidae,nab1

23-Jul,R2B,diptera,phoridae,pho1

23-Jul,R3A,hemiptera,aphididae,aph7

23-Jul,R3A,hemiptera,aphididae,aph7

23-Jul,R3A,coleoptera,coccinellidae,coc1

23-Jul,R3A,diptera,dolichopodidae,dol2

23-Jul,R3A,diptera,dolichopodidae,dol2

23-Jul,R3A,psocodea,psocodea,pso1

23-Jul,R3A,thysanoptera,thysanoptera,thy1

23-Jul,R3A,hemiptera,hem-unk,hem-unk1

23-Jul,R3B,hemiptera,aphididae,aph7

7-Aug,G1A,diptera,chironomidae,chi1

7-Aug,G1A,diptera,chironomidae,chi1

7-Aug,G1A,diptera,chironomidae,chi1

7-Aug,G1A,diptera,chloropidae,chl1

7-Aug,G1A,diptera,chloropidae,chl1

7-Aug,G1A,hymenoptera,encyrtidae,enc2

7-Aug,G1A,hymenoptera,halictidae,hal1

7-Aug,G1A,diptera,sarcophagidae,sar1

7-Aug,G1A,diptera,sarcophagidae,sar1

7-Aug,G1A,diptera,sarcophagidae,sar1

7-Aug,G1A,diptera,sarcophagidae,sar1

7-Aug,G1A,diptera,sarcophagidae,sar1

7-Aug,G1A,diptera,sarcophagidae,sar1

7-Aug,G1A,diptera,sciaridae,sci1

7-Aug,G1B,diptera,chironomidae,chi1

7-Aug,G1B,diptera,chironomidae,chi1

7-Aug,G1B,diptera,chironomidae,chi1

7-Aug,G1B,diptera,chironomidae,chi1

7-Aug,G1B,diptera,chironomidae,chi1

7-Aug,G1B,diptera,dolichopodidae,dol3

7-Aug,G1B,diptera,dolichopodidae,dol3

7-Aug,G1B,hymenoptera,halictidae,hal1

7-Aug,G1B,hymenoptera,halictidae,hal2

7-Aug,G1B,diptera,sarcophagidae,sar1

7-Aug,G1B,diptera,sarcophagidae,sar1

7-Aug,G1B,diptera,sarcophagidae,sar1

7-Aug,G1B,diptera,sarcophagidae,sar1

7-Aug,G1B,diptera,dip-unk,dip-unk3

7-Aug,G2A,hymenoptera,diapriidae,dia1

7-Aug,G2A,diptera,dolichopodidae,dol3

7-Aug,G2A,diptera,fanniidae,fan1

7-Aug,G2B,diptera,chironomidae,chi1

7-Aug,G2B,diptera,chironomidae,chi1

7-Aug,G2B,diptera,chironomidae,chi2

7-Aug,G2B,diptera,chloropidae,chl1

7-Aug,G2B,hymenoptera,diapriidae,dia1

7-Aug,G2B,diptera,dolichopodidae,dol1

7-Aug,G2B,diptera,dolichopodidae,dol3

7-Aug,G2B,diptera,dolichopodidae,dol3

7-Aug,G2B,diptera,fanniidae,fan1

7-Aug,G2B,diptera,fanniidae,fan1

7-Aug,G2B,diptera,sarcophagidae,sar1

7-Aug,G2B,diptera,sciaridae,sci1

7-Aug,G2B,diptera,syrphidae,syr2

7-Aug,G2B,thysanoptera,thysanoptera,thy10

7-Aug,G2B,thysanoptera,thysanoptera,thy8

7-Aug,G2B,thysanoptera,thysanoptera,thy9

7-Aug,G2B,thysanoptera,thysanoptera,thy9

7-Aug,G2B,hymenoptera,vespidae,ves1

7-Aug,G3A,collembola,collembola,col1

7-Aug,G3A,hymenoptera,formicidae,for1

7-Aug,G3A,thysanoptera,thysanoptera,thy1

7-Aug,G3A,hemiptera,hem-unk,hem-unk2

7-Aug,G3B,diptera,chironomidae,chi1

7-Aug,G3B,diptera,chironomidae,chi1

7-Aug,G3B,hymenoptera,diapriidae,dia2

7-Aug,G3B,diptera,dolichopodidae,dol3

7-Aug,G3B,diptera,dolichopodidae,dol3

7-Aug,G3B,diptera,dolichopodidae,dol3

7-Aug,G3B,diptera,sarcophagidae,sar1

7-Aug,G3B,diptera,dip-unk,dip-unk4

7-Aug,G3B,diptera,dip-unk,dip-unk4

7-Aug,R1A,hemiptera,aphididae,aph8

7-Aug,R1A,hemiptera,aphididae,aph8

7-Aug,R1A,hemiptera,aphididae,aph8

7-Aug,R1A,hemiptera,aphididae,aph8

7-Aug,R1A,diptera,dolichopodidae,dol1

7-Aug,R1A,diptera,dolichopodidae,dol1

7-Aug,R1A,hymenoptera,mymaridae,mym2

7-Aug,R1A,thysanoptera,thysanoptera,thy6

7-Aug,R1A,hymenoptera,hym-unk,hym-unk12

7-Aug,R1B,hemiptera,cicadellidae,cic1

7-Aug,R1B,diptera,dolichopodidae,dol2

7-Aug,R1B,diptera,dolichopodidae,dol2

7-Aug,R1B,hymenoptera,halictidae,hal1

7-Aug,R1B,hymenoptera,mymaridae,mym2

7-Aug,R1B,thysanoptera,thysanoptera,thy8

7-Aug,R2A,hemiptera,aphididae,aph9

7-Aug,R2A,hymenoptera,ceraphronidae,phr1

7-Aug,R2A,diptera,ceratopogonidae,cer1

7-Aug,R2A,diptera,ceratopogonidae,cer1

7-Aug,R2A,diptera,ceratopogonidae,cer1

7-Aug,R2A,diptera,ceratopogonidae,cer1

7-Aug,R2A,diptera,chironomidae,chi1

7-Aug,R2A,diptera,chironomidae,chi1

7-Aug,R2A,diptera,dolichopodidae,dol2

7-Aug,R2A,diptera,dolichopodidae,dol5

7-Aug,R2A,hymenoptera,pteromalidae,pte3

7-Aug,R2A,thysanoptera,thysanoptera,thy8

7-Aug,R2A,hemiptera,hem-unk,hem-unk1

7-Aug,R2B,hemiptera,aleyrodidae,ale1

7-Aug,R2B,hymenoptera,ceraphronidae,phr1

7-Aug,R2B,hemiptera,cicadellidae,cic1

7-Aug,R2B,hymenoptera,eulophidae,eul2

7-Aug,R2B,thysanoptera,thysanoptera,thy8

7-Aug,R2B,thysanoptera,thysanoptera,thy8

7-Aug,R2B,hymenoptera,hym-unk,hym-unk7

7-Aug,R2B,hymenoptera,hym-unk,hym-unk13

7-Aug,R3A,hemiptera,aleyrodidae,ale1

7-Aug,R3A,hemiptera,aleyrodidae,ale1

7-Aug,R3A,araneae,araneae,ara2

7-Aug,R3A,hemiptera,cicadellidae,cic1

7-Aug,R3A,hymenoptera,eulophidae,eul1

7-Aug,R3A,hemiptera,microphysidae,mic1

7-Aug,R3A,hemiptera,pentatomidae,pen1

7-Aug,R3A,coleoptera,scarabaeidae,sca1

7-Aug,R3A,hymenoptera,scelionidae,sce4

7-Aug,R3A,hemiptera,hem-unk,hem-unk1

7-Aug,R3A,diptera,dip-unk,dip-unk5

7-Aug,R3B,hemiptera,aleyrodidae,ale1

7-Aug,R3B,diptera,ceratopogonidae,cer1

7-Aug,R3B,diptera,ceratopogonidae,cer1

7-Aug,R3B,diptera,dolichopodidae,dol2

7-Aug,R3B,hymenoptera,halictidae,hal1

7-Aug,R3B,hymenoptera,halictidae,hal1

7-Aug,R3B,hymenoptera,sphecidae,sph1

7-Aug,R3B,thysanoptera,thysanoptera,thy1

7-Aug,R3B,thysanoptera,thysanoptera,thy1

7-Aug,R3B,thysanoptera,thysanoptera,thy8

7-Aug,R3B,hymenoptera,hym-unk,hym-unk14